T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0.0106;-4.35165;-0.886447;5.2381;0.0150879;0;-0.0150879;5.73168;0.0603516;300.96;
0.0106667;-3.70696;-2.01465;5.72161;0.0150879;0.0150879;0;5.93315;0.0754395;299.52;
0.0107333;-3.62637;-2.49817;6.12454;0.0150879;0;-0.0150879;6.28571;0.0905273;296.64;
0.0108;-3.38462;-3.06227;6.44689;0.0150879;0;-0.0150879;6.57784;0.0301758;295.2;
0.0108667;-2.98168;-3.06227;6.04396;0.0150879;0;-0.0150879;6.17491;0.0452637;293.76;
0.0109333;-2.98168;-3.22344;6.20513;0.0150879;0;0;6.33608;0.0754395;290.88;
0.011;-2.337;-3.06227;5.39927;0.0150879;0.0150879;0;5.54029;0.0150879;289.44;
0.0110667;-1.77289;-2.82051;4.59341;0.0150879;0;-0.0150879;4.75458;0.0301758;286.56;
0.0111333;-0.886447;-2.17582;3.06227;0.0150879;0;0;3.27381;0.0301758;285.12;
0.0112;-0.40293;-1.85348;2.25641;0.0150879;0;0;2.52839;0.0754395;282.24;
0.0112667;-0.161172;-1.69231;1.85348;0.0150879;0;0.0150879;2.16575;0.0905273;280.8;
0.0113333;-0.0805861;-1.36996;1.45055;0;0;0;1.74267;0.0754395;277.92;
0.0114;0;-0.886447;0.886447;0.0150879;0.0150879;0;1.13828;0.0150879;276.48;
0.0114667;0;-0.40293;0.40293;0.0150879;0;0;0.584249;0.0150879;273.6;
0.0115333;-0.40293;0.241758;0.161172;0.0150879;0;0;0.46337;0.0754395;272.16;
0.0116;-0.322344;1.20879;-0.886447;0.0150879;0;0;1.23901;0.0150879;269.28;
0.0116667;-0.40293;1.77289;-1.36996;0.0150879;0;0.0150879;1.84341;0.0754395;267.84;
0.0117333;-0.241758;1.93407;-1.69231;0;0;0;2.08516;0.0905273;266.4;
0.0118;-0.241758;2.337;-2.09524;0.0150879;0;0.0150879;2.54853;0.0754395;263.52;
0.0118667;-0.483516;2.73993;-2.25641;0.0150879;-0.0150879;0;2.91117;0.0754395;262.08;
0.0119333;-0.564103;2.73993;-2.17582;0.0150879;-0.0150879;0;2.88095;0.0905273;259.2;
0.012;-0.725275;3.30403;-2.57875;0.0150879;0;0.0150879;3.45513;0.0301758;257.76;
0.0120667;-0.967033;3.86813;-2.9011;0.0150879;0;0.0150879;4.00916;0.0301758;254.88;
0.0121333;-1.53114;4.43223;-2.9011;0.0150879;-0.0150879;0.0150879;4.49267;0.0905273;253.44;
0.0122;-2.17582;4.91575;-2.73993;0.0150879;-0.0150879;0.0150879;4.92582;0.0754395;252;
0.0122667;-2.82051;5.39927;-2.57875;0.0150879;-0.0150879;0;5.40934;0.0301758;249.12;
0.0123333;-3.30403;5.72161;-2.41758;0.0150879;0;0;5.7619;0.0301758;247.68;
0.0124;-3.38462;5.64103;-2.25641;0.0301758;0;0;5.69139;0.0603516;246.24;
0.0124667;-3.4652;5.31868;-1.85348;0.0150879;0;0.0150879;5.41941;0.0754395;243.36;
0.0125333;-3.4652;4.67399;-1.20879;0.0150879;0;0;4.87546;0.0754395;241.92;
0.0126;-3.62637;4.35165;-0.725275;0.0150879;-0.0150879;0;4.69414;0.0301758;239.04;
0.0126667;-3.94872;3.62637;0.322344;0.0150879;0.0150879;0;4.43223;0.0754395;237.6;
0.0127333;-4.43223;3.38462;1.04762;0.0150879;0;-0.0150879;4.68407;0.0452637;236.16;
0.0128;-4.75458;3.06227;1.69231;0.0150879;-0.0150879;0;4.87546;0.0301758;233.28;
0.0128667;-5.07692;2.9011;2.17582;0.0150879;0;0;5.15751;0.0301758;231.84;
0.0129333;-4.91575;2.25641;2.65934;0.0301758;0;0;4.98626;0.0754395;230.4;
0.013;-4.43223;1.77289;2.65934;0.0301758;-0.0150879;-0.0150879;4.52289;0.0301758;227.52;
0.0130667;-3.78755;1.04762;2.73993;0.0150879;0;0;3.97894;0.0150879;226.08;
0.0131333;-3.14286;0.483516;2.65934;0.0150879;0;0;3.44505;0.0754395;224.64;
0.0132;-2.09524;0.161172;1.93407;0.0150879;0.0150879;0;2.39744;0.0754395;221.76;
0.0132667;-2.01465;0;2.01465;0.0301758;0.0150879;-0.0150879;2.38736;0.0301758;220.32;
0.0133333;-1.77289;0.0805861;1.69231;0.0150879;0.0150879;0;2.06502;0.0603516;217.44;
0.0134;-1.36996;0.241758;1.12821;0.0150879;0;0.0150879;1.52106;0.0150879;216;
0.0134667;-1.20879;0.564103;0.644689;0.0150879;-0.0150879;0;1.26923;0.0301758;213.12;
0.0135333;-0.805861;0.644689;0.161172;0.0150879;0;0;0.89652;0.0754395;211.68;
0.0136;-0.241758;0.886447;-0.644689;0.0150879;-0.0150879;0;0.906593;0.0301758;208.8;
0.0136667;0.322344;1.04762;-1.36996;0;0;0;1.45055;0.0754395;207.36;
0.0137333;0.967033;1.12821;-2.09524;0.0150879;0;0;2.12546;0.0603516;204.48;
0.0138;1.20879;0.886447;-2.09524;0.0150879;0.0150879;0;2.12546;0.0150879;203.04;
0.0138667;1.61172;0.805861;-2.41758;0.0150879;-0.0150879;0;2.4881;0.0150879;200.16;
0.0139333;1.93407;0.805861;-2.73993;0;0;0;2.84066;0.0905273;198.72;
0.014;2.41758;1.04762;-3.4652;0.0150879;0;0.0150879;3.57601;0.0150879;197.28;
0.0140667;2.73993;1.45055;-4.19048;0.0301758;0;-0.0150879;4.28114;0.0452637;194.4;
0.0141333;2.98168;2.01465;-4.99634;0;0.0150879;0.0150879;5.05678;0.0603516;192.96;
0.0142;2.73993;2.57875;-5.31868;0;0;0.0150879;5.3489;0.0754395;190.08;
0.0142667;2.57875;2.98168;-5.56044;0;-0.0150879;0.0150879;5.59066;0.0452637;188.64;
0.0143333;2.41758;3.62637;-6.04396;0;0;0.0150879;6.10439;0.0754395;187.2;
0.0144;2.25641;3.78755;-6.04396;0.0150879;0;0.0150879;6.13461;0.0150879;184.32;
0.0144667;2.01465;3.70696;-5.72161;0.0150879;0;0;5.83242;0.0150879;182.88;
0.0145333;1.45055;3.70696;-5.15751;0.0150879;-0.0150879;0.0150879;5.33883;0.0754395;181.44;
0.0146;0.805861;4.0293;-4.83516;0.0150879;0;0.0150879;5.1978;0.0150879;180;
0.0146667;-0.0805861;4.27106;-4.19048;0.0150879;0;0;4.85531;0.0754395;178.56;
0.0147333;-1.04762;4.67399;-3.62637;0.0150879;0;0.0150879;4.8956;0.0905273;177.12;
0.0148;-1.69231;5.23809;-3.54579;0.0150879;-0.0150879;0;5.33883;0.0301758;174.24;
0.0148667;-2.17582;5.64103;-3.4652;0.0301758;-0.0150879;0.0150879;5.69139;0.0301758;172.8;
0.0149333;-2.65934;5.56044;-2.9011;0.0150879;-0.0150879;0;5.57051;0.0905273;171.36;
0.015;-2.73993;5.15751;-2.41758;0.0301758;-0.0150879;0;5.16758;0.0150879;168.48;
0.0150667;-2.49817;4.59341;-2.09524;0.0301758;0;0;4.60348;0.0150879;167.04;
0.0151333;-2.337;3.86813;-1.53114;0.0150879;0.0150879;0;3.90842;0.0754395;165.6;
0.0152;-1.93407;3.06227;-1.12821;0.0150879;0;0.0150879;3.11264;0.0603516;162.72;
0.0152667;-1.53114;1.85348;-0.322344;0.0150879;0;0.0150879;2.00458;0.0150879;161.28;
0.0153333;-1.12821;1.85348;-0.725275;0.0301758;0;0;1.8837;0.0905273;158.4;
0.0154;-0.886447;1.53114;-0.644689;0.0301758;0;0;1.55128;0.0150879;156.96;
0.0154667;-0.483516;1.12821;-0.644689;0.0150879;0;0;1.13828;0.0754395;154.08;
0.0155333;0;0.725275;-0.725275;0;0;0;0.856227;0.0754395;152.64;
0.0156;0.805861;0.322344;-1.12821;0;0;0;1.18864;0.0301758;149.76;
0.0156667;1.36996;-0.161172;-1.20879;0.0150879;0.0150879;0;1.48077;0.0754395;148.32;
0.0157333;2.01465;-0.40293;-1.61172;0.0150879;0;0;2.12546;0.0754395;146.88;
0.0158;1.93407;-1.12821;-0.805861;0;0;0;1.96429;0.0301758;144;
0.0158667;2.41758;-1.36996;-1.04762;0.0150879;-0.0150879;0;2.4478;0.0150879;142.56;
0.0159333;2.65934;-1.93407;-0.725275;0.0150879;0.0150879;0;2.78022;0.0754395;141.12;
0.016;3.14286;-2.25641;-0.886447;0;0;0;3.27381;0;138.24;
0.0160667;3.4652;-2.65934;-0.805861;0;0;0;3.66667;0.0301758;136.8;
0.0161333;4.10989;-2.65934;-1.45055;0.0150879;0.0150879;0;4.20055;0.0603516;135.36;
0.0162;4.67399;-2.82051;-1.85348;0.0150879;0.0150879;0;4.73443;0.0754395;132.48;
0.0162667;5.31868;-2.65934;-2.65934;0;0;0;5.33883;0.0301758;131.04;
0.0163333;5.64103;-2.337;-3.30403;0;0;0;5.68132;0.0603516;129.6;
0.0164;5.72161;-1.93407;-3.78755;0;0;0;5.83242;0.0301758;128.16;
0.0164667;5.56044;-1.53114;-4.0293;0.0150879;0;0.0150879;5.74176;0.0301758;125.28;
0.0165333;5.15751;-0.805861;-4.35165;0;0;0;5.54029;0.0905273;123.84;
0.0166;4.67399;-0.0805861;-4.59341;0;0;0.0150879;5.32875;0.0301758;122.4;
0.0166667;4.27106;1.12821;-5.39927;0;0;0;5.72161;0.0754395;120.96;
0.0167333;3.54579;1.93407;-5.47985;0.0150879;0;0;5.59066;0.0301758;118.08;
0.0168;3.30403;2.98168;-6.28571;0.0150879;0;0.0150879;6.31593;0.0754395;116.64;
0.0168667;3.38462;3.38462;-6.76923;0.0150879;0;0;6.79945;0;115.2;
0.0169333;3.30403;3.38462;-6.68864;0.0150879;-0.0150879;0.0150879;6.71886;0.0452637;112.32;
0.017;2.98168;3.14286;-6.12454;0.0150879;0;0.0150879;6.15476;0.0754395;110.88;
0.0170667;2.49817;2.9011;-5.39927;0.0150879;0;0;5.42949;0.0150879;109.44;
0.0171333;2.01465;2.73993;-4.75458;0.0150879;-0.0150879;0.0150879;4.79487;0.0754395;106.56;
0.0172;1.36996;2.337;-3.70696;0.0150879;0;0.0150879;3.7674;0.0754395;105.12;
