T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0.009;-3.14286;-6.84982;9.99267;0.0150879;0;-0.0150879;10.3452;0.0150879;4.32;
0.00906667;-1.36996;-7.81685;9.18681;0.0150879;0.0150879;-0.0301758;10.033;0.0452637;1.44;
0.00913333;0.725275;-9.42857;8.7033;0;0.0150879;0;10.5568;0.0754395;0;
0.0092;3.30403;-10.6374;7.33333;0;0.0150879;0;10.9597;0.0150879;357.12;
0.00926667;5.64103;-11.3626;5.72161;0.0150879;0.0150879;0;11.4231;0.0754395;354.24;
0.00933333;5.8022;-10.4762;4.67399;0.0150879;0.0150879;0;10.5568;0.0301758;349.92;
0.0094;4.91575;-9.75092;4.83517;0;0;0;9.81135;0.0301758;347.04;
0.00946667;4.27106;-8.13919;3.86813;0;0.0150879;0;8.20971;0.0603516;344.16;
0.00953333;3.38462;-6.28571;2.9011;0;0.0150879;0;6.35623;0.0754395;339.84;
0.0096;2.25641;-4.43223;2.17582;0;0;0;4.50275;0.0301758;336.96;
0.00966667;1.20879;-2.49817;1.28938;0.0150879;0;0;2.56868;0.0150879;332.64;
0.00973333;0;-1.36996;1.36996;0.0150879;0.0150879;0;1.65201;0.0603516;329.76;
0.0098;-1.69231;0.322344;1.36996;0.0150879;0;0;1.86355;0.0301758;326.88;
0.00986667;-3.4652;2.09524;1.36996;0.0301758;0;-0.0150879;3.54579;0.0301758;324;
0.00993333;-4.27106;3.30403;0.967033;0.0150879;-0.0150879;0;4.53297;0.0754395;319.68;
0.01;-5.39927;4.27106;1.12821;0.0150879;-0.0150879;0.0150879;5.75183;0.0452637;316.8;
0.0100667;-6.60806;4.83516;1.77289;0.0301758;0;0;6.90018;0.0301758;313.92;
0.0101333;-7.89744;4.91575;2.98168;0.0150879;-0.0150879;0;8.03846;0.0754395;311.04;
0.0102;-9.10623;4.99634;4.10989;0.0150879;0;0;9.18681;0;308.16;
0.0102667;-10.3956;3.86813;6.52747;0.0150879;-0.0150879;0;10.5769;0.0754395;306.72;
0.0103333;-10.2344;2.98168;7.25275;0.0301758;0.0150879;-0.0150879;10.5971;0.0301758;303.84;
0.0104;-9.99267;0.483516;9.50916;0.0301758;0;0;11.3324;0.0150879;300.96;
0.0104667;-9.18681;-2.09524;11.2821;0.0150879;0;-0.0150879;12.1282;0.0754395;298.08;
0.0105333;-7.73626;-4.67399;12.4103;0.0301758;0;-0.0301758;12.6621;0.0905273;295.2;
0.0106;-6.52747;-5.31868;11.8462;0.0301758;0.0150879;-0.0150879;11.9973;0.0150879;292.32;
0.0106667;-5.72161;-5.15751;10.8791;0.0301758;0;0;11.0101;0.0150879;289.44;
0.0107333;-5.23809;-4.91575;10.1538;0;0.0150879;-0.0150879;10.2848;0.0905273;285.12;
0.0108;-3.94872;-3.78755;7.73626;0.0150879;0.0150879;0;7.86722;0.0150879;282.24;
0.0108667;-2.65934;-2.98168;5.64103;0;0;0;5.77198;0.0150879;277.92;
0.0109333;-1.69231;-1.53114;3.22344;0.0150879;0;-0.0150879;3.3544;0.0905273;275.04;
0.011;-0.886447;-0.241758;1.12821;0;0;0;1.30952;0;272.16;
0.0110667;-1.20879;0.644689;0.564103;0.0150879;-0.0150879;0;1.26923;0.0301758;269.28;
0.0111333;-1.04762;2.57875;-1.53114;0.0150879;-0.0150879;0.0150879;2.58883;0.0754395;266.4;
0.0112;-0.725275;4.0293;-3.30403;0.0150879;0;0.0150879;4.28114;0.0301758;263.52;
0.0112667;-1.04762;4.51282;-3.4652;0.0150879;0;0;4.71429;0.0754395;260.64;
0.0113333;-1.20879;5.64103;-4.43223;0.0150879;0;0.0150879;5.92308;0.0150879;256.32;
